,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT
0,,0,(%),(md),(mm),categ,,
1,1.0,1,16.7,0.7,0.1,vf,offshore marine shelf,M
2,1.0,2,2.2,0.01,0.1,vf,offshore marine shelf,M
3,1.0,3,13.3,2.4,0.12,vf,offshore marine shelf,M
4,1.0,4,13.2,0.9,0.12,vf,offshore marine shelf,M
5,1.0,5,11.3,1.25,0.12,vf,offshore marine shelf,M
6,1.0,6,10.8,0.33,0.12,vf,offshore marine shelf,M
7,1.0,7,4.5,0.02,0.12,vf,offshore marine shelf,M
8,1.0,8,23.7,468,0.12,vf,offshore marine shelf,M
9,1.0,9,23.5,322,0.12,vf,offshore marine shelf,M
10,1.0,10,23.3,199,0.12,vf,offshore marine shelf,M
11,1.0,11,23,191,0.12,vf,offshore marine shelf,M
12,1.0,12,21.4,40,0.12,vf,offshore marine shelf,M
13,1.0,13,25.4,532,0.12,vf,offshore marine shelf,M
14,1.0,14,24.3,157,0.12,vf,offshore marine shelf,M
15,1.0,15,,,,,offshore marine shelf,M
16,1.0,16,14.6,40.3,0.1,vf,offshore marine shelf,M
17,1.0,17,17.9,87.7,0.1,vf,offshore marine shelf,M
18,1.0,18,16,33.4,0.1,vf,offshore marine shelf,M
19,1.0,19,19.5,138,0.1,vf,offshore marine shelf,M
20,1.0,20,23.2,549,0.1,vf,offshore marine shelf,M
21,1.0,21,26,808,0.1,vf,offshore marine shelf,M
22,1.0,22,3.2,0.02,0.1,vf,offshore marine shelf,M
23,1.0,23,23.2,34,0.1,vf,offshore marine shelf,M
24,1.0,24,18.3,5.4,0.1,vf,offshore marine shelf,M
25,1.0,25,23.4,41.3,0.1,vf,offshore marine shelf,M
26,1.0,26,22.2,13.2,0.1,vf,offshore marine shelf,M
27,1.0,27,12.6,0.11,0.1,vf,offshore marine shelf,M
28,1.0,28,25.7,1530,0.1,vf,offshore marine shelf,M
29,1.0,29,8.2,0.25,0.1,vf,offshore marine shelf,M
30,1.0,30,,,,,offshore marine shelf,M
31,1.0,31,24,204,0.1,vf,offshore marine shelf,M
32,1.0,32,23.7,164,0.1,vf,offshore marine shelf,M
33,1.0,33,22.3,184,0.1,vf,offshore marine shelf,M
34,1.0,34,9.7,1.5,0.1,vf,offshore marine shelf,M
35,1.0,35,9.2,0.63,0.1,vf,offshore marine shelf,M
36,1.0,36,21.4,44,0.1,vf,offshore marine shelf,M
37,1.0,37,,,,,offshore marine shelf,M
38,1.0,38,13.5,0.17,0.07,vf,offshore marine shelf,M
