,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,(%),(md),(mm),categ,,,,,
1,3.0,1.0,17.1,15.848931924611136,,,Distal braided stream/mouth bar,NM,,,Note: perm cud actually be 10^perm (the one listed may have been log10 transformed)
2,3.0,2.0,13.8,22.908676527677738,,,Distal braided stream/mouth bar,NM,,,nvm
3,3.0,3.0,19.5,50.11872336272724,,,Distal braided stream/mouth bar,NM,,,
4,3.0,4.0,18.95,63.095734448019364,,,Distal braided stream/mouth bar,NM,,,
5,3.0,5.0,19.05,81.28305161640996,,,Distal braided stream/mouth bar,NM,,,
6,3.0,6.0,19,95.49925860214366,,,Distal braided stream/mouth bar,NM,,,
7,3.0,7.0,20.1,19.72422736114854,,,Distal braided stream/mouth bar,NM,,,
8,3.0,8.0,21,46.77351412871982,,,Distal braided stream/mouth bar,NM,,,
9,3.0,9.0,21.7,41.68693834703356,,,Distal braided stream/mouth bar,NM,,,
10,3.0,10.0,22.1,57.543993733715695,,,Distal braided stream/mouth bar,NM,,,
11,3.0,11.0,22,72.44359600749907,,,Distal braided stream/mouth bar,NM,,,
12,3.0,12.0,21.9,75.85775750291836,,,Distal braided stream/mouth bar,NM,,,
13,3.0,13.0,23.7,89.12509381337456,,,Distal braided stream/mouth bar,NM,,,
14,3.0,14.0,19.5,123.02687708123821,,,Distal braided stream/mouth bar,NM,,,
15,3.0,15.0,20,199.52623149688802,,,Distal braided stream/mouth bar,NM,,,
16,3.0,16.0,18,281.83829312644554,,,Distal braided stream/mouth bar,NM,,,
17,3.0,17.0,22.9,112.20184543019634,,,Distal braided stream/mouth bar,NM,,,
18,3.0,18.0,24.8,114.81536214968835,,,Distal braided stream/mouth bar,NM,,,
19,3.0,19.0,23.9,138.0384264602886,,,Distal braided stream/mouth bar,NM,,,
20,3.0,20.0,24.2,141.25375446227542,,,Distal braided stream/mouth bar,NM,,,
21,3.0,21.0,25,147.91083881682084,,,Distal braided stream/mouth bar,NM,,,
22,3.0,22.0,23.4,144.54397707459285,,,Distal braided stream/mouth bar,NM,,,
23,3.0,23.0,23.4,158.48931924611153,,,Distal braided stream/mouth bar,NM,,,
24,3.0,24.0,24.5,169.82436524617444,,,Distal braided stream/mouth bar,NM,,,
25,3.0,25.0,25.4,194.98445997580458,,,Distal braided stream/mouth bar,NM,,,
26,3.0,26.0,26,177.82794100389242,,,Distal braided stream/mouth bar,NM,,,
27,3.0,27.0,20.7,199.52623149688802,,,Distal braided stream/mouth bar,NM,,,
28,3.0,28.0,22.8,281.83829312644554,,,Distal braided stream/mouth bar,NM,,,
29,3.0,29.0,23.6,251.18864315095806,,,Distal braided stream/mouth bar,NM,,,
30,3.0,30.0,23.3,239.88329190194912,,,Distal braided stream/mouth bar,NM,,,
31,3.0,31.0,23.5,208.92961308540396,,,Distal braided stream/mouth bar,NM,,,
32,3.0,32.0,22,398.1071705534976,,,Distal braided stream/mouth bar,NM,,,
33,3.0,33.0,22.6,616.5950018614827,,,Distal braided stream/mouth bar,NM,,,
34,3.0,34.0,23.5,436.5158322401662,,,Distal braided stream/mouth bar,NM,,,
35,3.0,35.0,24.05,489.77881936844625,,,Distal braided stream/mouth bar,NM,,,
36,3.0,36.0,24,575.4399373371571,,,Distal braided stream/mouth bar,NM,,,
37,3.0,37.0,24.05,676.0829753919821,,,Distal braided stream/mouth bar,NM,,,
38,3.0,38.0,24.1,812.8305161640998,,,Distal braided stream/mouth bar,NM,,,
39,3.0,39.0,23.8,1023.2929922807547,,,Distal braided stream/mouth bar,NM,,,
40,3.0,40.0,23.5,331.13112148259137,,,Distal braided stream/mouth bar,NM,,,
41,3.0,41.0,23.9,363.0780547701015,,,Distal braided stream/mouth bar,NM,,,
42,3.0,42.0,24.3,398.1071705534976,,,Distal braided stream/mouth bar,NM,,,
43,3.0,43.0,24.1,288.4031503126607,,,Distal braided stream/mouth bar,NM,,,
44,3.0,44.0,24.6,288.4031503126607,,,Distal braided stream/mouth bar,NM,,,
45,3.0,45.0,24.8,275.42287033381683,,,Distal braided stream/mouth bar,NM,,,
46,3.0,46.0,25,288.4031503126607,,,Distal braided stream/mouth bar,NM,,,
47,3.0,47.0,25.3,234.42288153199232,,,Distal braided stream/mouth bar,NM,,,
48,3.0,48.0,25.4,251.18864315095806,,,Distal braided stream/mouth bar,NM,,,
49,3.0,49.0,25.7,257.03957827688663,,,Distal braided stream/mouth bar,NM,,,
50,3.0,50.0,25.8,309.02954325135937,,,Distal braided stream/mouth bar,NM,,,
51,3.0,51.0,26,251.18864315095806,,,Distal braided stream/mouth bar,NM,,,
52,3.0,52.0,26.5,223.87211385683412,,,Distal braided stream/mouth bar,NM,,,
53,3.0,53.0,26.9,245.4708915685033,,,Distal braided stream/mouth bar,NM,,,
54,3.0,54.0,26.2,312.6079367123958,,,Distal braided stream/mouth bar,NM,,,
55,3.0,55.0,27,295.12092266663893,,,Distal braided stream/mouth bar,NM,,,
56,3.0,56.0,27.9,269.1534803926918,,,Distal braided stream/mouth bar,NM,,,
57,3.0,57.0,27.9,223.87211385683412,,,Distal braided stream/mouth bar,NM,,,
58,3.0,58.0,25,393.55007545577786,,,Distal braided stream/mouth bar,NM,,,
59,3.0,59.0,25.5,338.8441561392025,,,Distal braided stream/mouth bar,NM,,,
60,3.0,60.0,25.5,398.1071705534976,,,Distal braided stream/mouth bar,NM,,,
61,3.0,61.0,25.6,436.5158322401662,,,Distal braided stream/mouth bar,NM,,,
62,3.0,62.0,25.6,457.0881896148756,,,Distal braided stream/mouth bar,NM,,,
63,3.0,63.0,26.9,354.81338923357566,,,Distal braided stream/mouth bar,NM,,,
64,3.0,64.0,26.9,380.1893963205616,,,Distal braided stream/mouth bar,NM,,,
65,3.0,65.0,27.3,331.13112148259137,,,Distal braided stream/mouth bar,NM,,,
66,3.0,66.0,27.8,371.53522909717265,,,Distal braided stream/mouth bar,NM,,,
67,3.0,67.0,28.1,371.53522909717265,,,Distal braided stream/mouth bar,NM,,,
68,3.0,68.0,28.9,316.22776601683825,,,Distal braided stream/mouth bar,NM,,,
69,3.0,69.0,27.6,446.6835921509633,,,Distal braided stream/mouth bar,NM,,,
70,3.0,70.0,28.2,501.1872336272727,,,Distal braided stream/mouth bar,NM,,,
71,3.0,71.0,29,467.7351412871983,,,Distal braided stream/mouth bar,NM,,,
72,3.0,72.0,29,501.1872336272727,,,Distal braided stream/mouth bar,NM,,,
73,3.0,73.0,30,478.63009232263886,,,Distal braided stream/mouth bar,NM,,,
74,3.0,74.0,26,676.0829753919821,,,Distal braided stream/mouth bar,NM,,,
75,3.0,75.0,26.1,588.8436553555896,,,Distal braided stream/mouth bar,NM,,,
76,3.0,76.0,26,524.8074602497729,,,Distal braided stream/mouth bar,NM,,,
77,3.0,77.0,26.5,630.9573444801932,,,Distal braided stream/mouth bar,NM,,,
78,3.0,78.0,26.6,537.031796370253,,,Distal braided stream/mouth bar,NM,,,
79,3.0,79.0,26.8,501.1872336272727,,,Distal braided stream/mouth bar,NM,,,
80,3.0,80.0,27,794.3282347242821,,,Distal braided stream/mouth bar,NM,,,
81,3.0,81.0,27.6,660.6934480075964,,,Distal braided stream/mouth bar,NM,,,
