,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,Unnamed: 9
0,,0,(%),(md),(mm),categ,,,,
1,5.0,1,18.7,1300,0.98,c,medium to coarse-grained shoreline deposits,T,,
2,5.0,2,19.4,927,0.76,c,medium to coarse-grained shoreline deposits,T,,
3,5.0,3,14.7,978,0.96,c,medium to coarse-grained shoreline deposits,T,,
4,5.0,4,15.2,685,1.42,c,medium to coarse-grained shoreline deposits,T,,
5,5.0,5,13.1,994,0.9,c,medium to coarse-grained shoreline deposits,T,,
6,5.0,6,13.1,250,0.9,c,medium to coarse-grained shoreline deposits,T,,
7,5.0,7,13.7,38,0.86,c,medium to coarse-grained shoreline deposits,T,,
8,5.0,8,19.4,2170,0.89,c,medium to coarse-grained shoreline deposits,T,,
9,5.0,9,12.9,96,0.9,c,medium to coarse-grained shoreline deposits,T,,
10,5.0,10,14,99,0.99,c,medium to coarse-grained shoreline deposits,T,,
11,5.0,11,13.4,72,0.81,c,medium to coarse-grained shoreline deposits,T,,
12,5.0,12,14.1,327,0.81,c,medium to coarse-grained shoreline deposits,T,,
13,5.0,13,13.7,135,1.08,c,medium to coarse-grained shoreline deposits,T,,
14,5.0,14,16.3,1051,0.94,c,medium to coarse-grained shoreline deposits,T,,
15,5.0,15,16.8,2976,1.1,c,medium to coarse-grained shoreline deposits,T,,
16,5.0,16,13.2,165,0.75,c,medium to coarse-grained shoreline deposits,T,,
17,5.0,17,12.9,15,0.52,c,medium to coarse-grained shoreline deposits,T,,
18,5.0,18,15.9,546,0.79,c,medium to coarse-grained shoreline deposits,T,,
19,5.0,19,15.6,632,0.79,c,medium to coarse-grained shoreline deposits,T,,
20,5.0,20,12.5,96,1.22,c,medium to coarse-grained shoreline deposits,T,,
21,5.0,21,12.1,27,0.7,c,medium to coarse-grained shoreline deposits,T,,
22,5.0,22,10.3,18,0.76,c,medium to coarse-grained shoreline deposits,T,,
23,5.0,23,11.3,5.9,0.86,c,medium to coarse-grained shoreline deposits,T,,
