,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,GRAINSIZE_ORI
0,,,(%),(md),(mm),categ,,,,categ
1,58.0,,16.7,1.9498445997580454,,c,,,,squares -- coarse-grained
2,58.0,,6.2,0.019952623149688792,,m,,,,plus sign -- medium-grained
3,58.0,,6.5,0.030199517204020147,,m,,,,plus sign -- medium-grained
4,58.0,,7.1,0.019952623149688792,,m,,,,plus sign -- medium-grained
5,58.0,,7.2,0.05754399373371569,,m,,,,plus sign -- medium-grained
6,58.0,,8.1,0.0489778819368446,,m,,,,plus sign -- medium-grained
7,58.0,,8.3,0.17782794100389224,,m,,,,plus sign -- medium-grained
8,58.0,,8.4,0.019952623149688792,,m,,,,plus sign -- medium-grained
9,58.0,,8.5,0.05754399373371569,,m,,,,plus sign -- medium-grained
10,58.0,,9.5,0.019952623149688792,,m,,,,plus sign -- medium-grained
11,58.0,,10.5,0.2041737944669529,,m,,,,plus sign -- medium-grained
12,58.0,,11,0.6025595860743578,,m,,,,plus sign -- medium-grained
13,58.0,,11.2,0.42657951880159267,,m,,,,plus sign -- medium-grained
14,58.0,,11.4,0.030199517204020147,,m,,,,plus sign -- medium-grained
15,58.0,,11.8,0.1,,m,,,,plus sign -- medium-grained
16,58.0,,11.9,0.1949844599758045,,m,,,,plus sign -- medium-grained
17,58.0,,13,0.019952623149688792,,m,,,,plus sign -- medium-grained
18,58.0,,13.3,31.622776601683803,,m,,,,plus sign -- medium-grained
19,58.0,,13.5,0.03981071705534973,,m,,,,plus sign -- medium-grained
20,58.0,,13.6,0.030199517204020147,,m,,,,plus sign -- medium-grained
21,58.0,,14.2,0.5128613839913648,,m,,,,plus sign -- medium-grained
22,58.0,,14.3,0.7943282347242815,,m,,,,plus sign -- medium-grained
23,58.0,,14.4,2.0417379446695296,,m,,,,plus sign -- medium-grained
24,58.0,,14.5,24.547089156850305,,m,,,,plus sign -- medium-grained
25,58.0,,14.5,26.302679918953825,,m,,,,plus sign -- medium-grained
26,58.0,,14.7,0.660693448007596,,m,,,,plus sign -- medium-grained
27,58.0,,15.3,0.14125375446227542,,m,,,,plus sign -- medium-grained
28,58.0,,15.5,1.5488166189124815,,m,,,,plus sign -- medium-grained
29,58.0,,15.8,0.33113112148259105,,m,,,,plus sign -- medium-grained
30,58.0,,16.2,56.234132519034915,,m,,,,plus sign -- medium-grained
31,58.0,,16.3,4.466835921509632,,m,,,,plus sign -- medium-grained
32,58.0,,16.3,7.943282347242818,,m,,,,plus sign -- medium-grained
33,58.0,,16.3,0.1445439770745927,,m,,,,plus sign -- medium-grained
34,58.0,,16.8,63.095734448019364,,m,,,,plus sign -- medium-grained
35,58.0,,16.8,5.011872336272723,,m,,,,plus sign -- medium-grained
36,58.0,,17,3.9810717055349727,,m,,,,plus sign -- medium-grained
37,58.0,,17,5.248074602497726,,m,,,,plus sign -- medium-grained
38,58.0,,17,0.4073802778041127,,m,,,,plus sign -- medium-grained
39,58.0,,17.4,0.6309573444801932,,m,,,,plus sign -- medium-grained
40,58.0,,17.5,102.32929922807544,,m,,,,plus sign -- medium-grained
41,58.0,,17.5,0.9772372209558107,,m,,,,plus sign -- medium-grained
42,58.0,,18,125.89254117941677,,m,,,,plus sign -- medium-grained
43,58.0,,18.4,0.30902954325135895,,m,,,,plus sign -- medium-grained
44,58.0,,18.5,194.98445997580458,,m,,,,plus sign -- medium-grained
45,58.0,,18.5,23.988329190194907,,m,,,,plus sign -- medium-grained
46,58.0,,18.7,60.25595860743582,,m,,,,plus sign -- medium-grained
47,58.0,,18.9,9.120108393559098,,m,,,,plus sign -- medium-grained
48,58.0,,19.1,257.03957827688663,,m,,,,plus sign -- medium-grained
49,58.0,,19.1,28.183829312644548,,m,,,,plus sign -- medium-grained
50,58.0,,19.1,33.88441561392027,,m,,,,plus sign -- medium-grained
51,58.0,,19.3,7.943282347242818,,m,,,,plus sign -- medium-grained
52,58.0,,19.4,3.3113112148259116,,m,,,,plus sign -- medium-grained
53,58.0,,19.5,104.71285480508998,,m,,,,plus sign -- medium-grained
54,58.0,,19.7,7.0794578438413795,,m,,,,plus sign -- medium-grained
55,58.0,,19.8,25.703957827688647,,m,,,,plus sign -- medium-grained
56,58.0,,19.9,9.120108393559098,,m,,,,plus sign -- medium-grained
57,58.0,,20,19.054607179632477,,m,,,,plus sign -- medium-grained
58,58.0,,20,1.023292992280754,,m,,,,plus sign -- medium-grained
59,58.0,,20.2,29.512092266663863,,m,,,,plus sign -- medium-grained
60,58.0,,20.2,40.7380277804113,,m,,,,plus sign -- medium-grained
61,58.0,,20.3,1.778279410038923,,m,,,,plus sign -- medium-grained
62,58.0,,20.3,0.41686938347033536,,m,,,,plus sign -- medium-grained
63,58.0,,20.6,77.62471166286922,,m,,,,plus sign -- medium-grained
64,58.0,,20.6,1.4125375446227544,,m,,,,plus sign -- medium-grained
65,58.0,,20.7,93.32543007969917,,m,,,,plus sign -- medium-grained
66,58.0,,20.9,7.2443596007499025,,m,,,,plus sign -- medium-grained
67,58.0,,21,2.4547089156850306,,m,,,,plus sign -- medium-grained
68,58.0,,21.2,52.480746024977286,,m,,,,plus sign -- medium-grained
69,58.0,,21.5,14.791083881682074,,m,,,,plus sign -- medium-grained
70,58.0,,21.5,0.33113112148259105,,m,,,,plus sign -- medium-grained
71,58.0,,21.6,32.35936569296283,,m,,,,plus sign -- medium-grained
72,58.0,,21.6,3.5481338923357555,,m,,,,plus sign -- medium-grained
73,58.0,,21.7,0.4786300923226383,,m,,,,plus sign -- medium-grained
74,58.0,,21.9,39.810717055349755,,m,,,,plus sign -- medium-grained
75,58.0,,22,25.1188643150958,,m,,,,plus sign -- medium-grained
76,58.0,,22,33.88441561392027,,m,,,,plus sign -- medium-grained
77,58.0,,22,39.810717055349755,,m,,,,plus sign -- medium-grained
78,58.0,,22,5.3703179637025285,,m,,,,plus sign -- medium-grained
79,58.0,,22.2,50.11872336272724,,m,,,,plus sign -- medium-grained
80,58.0,,22.3,56.234132519034915,,m,,,,plus sign -- medium-grained
81,58.0,,22.5,125.89254117941677,,m,,,,plus sign -- medium-grained
82,58.0,,22.5,281.83829312644554,,m,,,,plus sign -- medium-grained
83,58.0,,22.5,0.4786300923226383,,m,,,,plus sign -- medium-grained
84,58.0,,22.7,15.848931924611136,,m,,,,plus sign -- medium-grained
85,58.0,,22.9,45.70881896148751,,m,,,,plus sign -- medium-grained
86,58.0,,23,1621.8100973589308,,m,,,,plus sign -- medium-grained
87,58.0,,23,151.3561248436209,,m,,,,plus sign -- medium-grained
88,58.0,,23,257.03957827688663,,m,,,,plus sign -- medium-grained
89,58.0,,23,44.668359215096324,,m,,,,plus sign -- medium-grained
90,58.0,,23,10,,m,,,,plus sign -- medium-grained
