,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,GRAINSIZE.2,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,,(%),(md),(mm),categ,,,,categ,,,,
1,63.0,1.0,18.67,209,,f,Channel,M,,Sd bm w cons fgr w/Sh clasts,,,,
2,63.0,13.0,15.68,0.205,,f,Gravity Flow,M,,Sd gy w cons vfgr,,,,
3,63.0,16.0,17.98,440,,f,Channel,M,,Sd gy w cons vfgr,,,,
4,63.0,17.0,18.09,360,,f,Channel,M,,Sd bm w cons vfgr,,,,
5,63.0,18.0,14.48,19.3,,f,Channel,M,,Sd bm w cons vfgr,,,,
6,63.0,19.0,12.74,0.017,,f,Gravity Flow,M,,Sd bm w cons vfgr,,,,
7,63.0,20.0,13.99,0.052,,f,Gravity Flow,M,,Sd bm w cons vfgr,,,,
8,63.0,21.0,15.21,0.741,,f,Gravity Flow,M,,Sd bm w cons vfgr,,,,
9,63.0,22.0,15.48,0.352,,f,Gravity Flow,M,,Sd bm w cons vfgr,,,,
10,63.0,23.0,12.92,2.77,,f,Gravity Flow,M,,Sd bm w cons vf--fgr,,,,
11,63.0,24.0,12.95,43.8,,f,Gravity Flow,M,,Sd bm w cons vf--fgr,,,,
12,63.0,25.0,10.71,0.066,,f,Gravity Flow,M,,Sd gy w cons vf--fgr w/Sh clasts,,,,
13,63.0,26.0,17.82,48.3,,f,Gravity Flow,M,,Sd bm w cons fgr,,,,
14,63.0,27.0,14.38,69.4,,f,Gravity Flow,M,,Sd It bm w cons vf--fgr,,,,
15,63.0,37.0,18.31,2.87,,f,Gravity Flow,M,,Sd It bm w cons vf--fgr,,,,
16,63.0,38.0,18.56,3.75,,f,Gravity Flow,M,,Sd bm w cons fgr,,,,
17,63.0,39.0,13.65,1.47,,f,Gravity Flow,M,,Sd bm w cons fgr,,,,
18,63.0,40.0,16.01,1.19,,f,Gravity Flow,M,,Sd gy w cons fgr,,,,
19,63.0,2.0,8.67,0.932,,vf,Gravity Flow,M,,Sd It bm w cons fgr,,,,
20,63.0,3.0,10.65,0.455,,vf,Gravity Flow,M,,Sd It bm w cons fgr,,,,
21,63.0,4.0,19.92,828,,vf,Channel,M,,Sd It bm w cons fgr,,,,
22,63.0,5.0,21.06,409,,vf,Channel,M,,Sd It bm w cons fgr,,,,
23,63.0,6.0,22.37,1215,,vf,Channel,M,,Sd It bm w cons fgr w/ Sh clasts,,,,
24,63.0,7.0,18.08,397,,vf,Channel,M,,Sd gy w cons fgr,,,,
25,63.0,8.0,21.79,984,,vf,Channel,M,,Sd gy w cons fgr,,,,
26,63.0,9.0,22.15,847,,vf,Channel,M,,Sd gy w cons fgr,,,,
27,63.0,28.0,0.95,0.001,,vf,,M,,Sd gy w cons fgr,,,,
28,63.0,29.0,0.97,0.001,,vf,Gravity Flow,M,,Sd It gy vw cons vfgr,,,,
29,63.0,34.0,10.73,0.19,,vf,Channel,M,,Sd It gy vw cons vfgr,,,,
30,63.0,35.0,11.77,0.337,,vf,Gravity Flow,M,,Sd gy--It bm vf--fgr foss,,,,
31,63.0,36.0,11.2,0.051,,vf,Gravity Flow,M,,Sd gy--It bm vf--fgr foss,,,,
32,63.0,42.0,1.01,0.001,,vf,Channel,M,,Sd gy--It bm vf--fgr foss,,,,
33,63.0,43.0,12.43,5.94,,vf,Channel,M,,Sd gy--It bm vf--fgr foss,,,,
34,63.0,44.0,6.59,0.027,,vf,Channel,M,,Sd gy w cons vfgr w/thin Sh lams,,,,
35,63.0,45.0,9.5,0.032,,vf,Gravity Flow,M,,Sd gy vw cons vfgr,,,,
36,63.0,47.0,12.22,0.089,,vf,Gravity Flow,M,,Sd gy vw cons vfgr,,,,
37,63.0,48.0,9.04,0.037,,vf,Channel,M,,Sd bm w cons fgr,,,,
38,63.0,49.0,2.12,0.001,,vf,Channel,M,,Sd bm w cons fgr,,,,
39,63.0,50.0,17.94,215,,vf,Channel,M,,Sd bm w cons fgr,,,,
40,63.0,51.0,17.5,160,,vf,Channel,M,,Sd bm w cons fgr,,,,
41,63.0,52.0,17.66,133,,vf,Channel,M,,Sd It bm--gy w cons vf--fgr,,,,
42,63.0,53.0,17.56,124,,vf,Channel,M,,Sd It gy vwcons vfgr,,,,
43,63.0,54.0,16.39,114,,vf,Channel,M,,Sd gy wv cons vfgr,,,,
44,63.0,55.0,11.01,0.001,,vf,Channel,M,,Sd gy wv cons vfgr,,,,
45,63.0,56.0,9.19,0.05,,vf,Gravity Flow,M,,Sd gy w cons vfgr,,,,
46,63.0,57.0,8.18,0.292,,vf,Gravity Flow,M,,Sd bm w cons vf--fg,,,,
47,63.0,58.0,10.25,0.022,,vf,Gravity Flow,M,,Sd gy wv cons vfgr,,,,
48,63.0,59.0,7.79,0.001,,vf,Shelf,M,,Sd It gy wv cons vfgr,,,,
49,63.0,60.0,11.41,0.046,,vf,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,
50,63.0,62.0,12.23,18.6,,vf,Channel,M,,Sd bm w cons vf--tgr,,,,
51,63.0,63.0,6.39,0.001,,vf,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,
52,63.0,64.0,5.63,0.001,,vf,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,
53,63.0,65.0,7.73,0.001,,vf,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,
54,63.0,66.0,12.19,0.028,,vf,Gravity Flow,M,,Sd bm w cons vf--tgr,,,,
55,63.0,67.0,10.96,0.013,,vf,Gravity Flow,M,,Sd bm w cons vfgr,,,,
56,63.0,68.0,7.83,0.001,,vf,,M,,Sd gy w cons vfgr w/ thin Sh lams,,,,
57,63.0,69.0,9.91,0.012,,vf,Gravity Flow/Shelf,M,,Sd gy w cons vfgr w/ Sh clasts,,,,
58,63.0,70.0,8.45,0.006,,vf,Gravity Flow/Shelf,M,,Sd gy w cons vfgr sshy,,,,
59,63.0,71.0,10.62,0.035,,vf,Gravity Flow/Shelf,M,,Sd gy w cons vfgr sshy,,,,
60,63.0,72.0,8.89,0.03,,vf,Gravity Flow/Shelf,M,,Sd gy w cons vfgr sshy,,,,
61,63.0,73.0,11.07,0.116,,vf,Gravity Flow/Shelf,M,,Sd gy--bm w cons vtgr sshy lam,,,,
62,63.0,74.0,14.35,64.4,,vf,Channel,M,,Sd gy w cons vfgr,,,,
63,63.0,75.0,5.28,0.074,,vf,Channel,M,,Sd dk gy w cons vfgr sshy lam,,,,
64,63.0,76.0,16.22,264,,vf,Channel,M,,Sd dk gy w cons vfgr sshy lam,,,,
65,63.0,77.0,12.65,1.51,,vf,Channel,M,,Sd dk gy w cons vfgr sshy lam,,,,
66,63.0,78.0,13.68,0.658,,vf,Channel,M,,Sd gy w cons vfgr sshy,,,,
67,63.0,79.0,10.81,3.32,,vf,Channel,M,,Sd gy w cons vfgr sshy,,,,
68,63.0,80.0,10.86,5.74,,vf,Channel,M,,Sd gy w cons vfgr shy bioturb,,,,
69,63.0,81.0,7.06,0.001,,vf,Gravity Flow,M,,Sd gy w cons vfgr shy blotuib,,,,
70,63.0,82.0,13.07,0.312,,vf,Gravity Flow,M,,Sd gy w cons vfgr shy bioturb,,,,
71,63.0,83.0,14.78,0.922,,vf,Gravity Flow,M,,Sd gy w cons vfgr w/thin carb partings,,,,
72,63.0,84.0,8.07,0.001,,vf,Gravity Flow,M,,Sd gy w cons vfgr w/thin Sh lams,,,,
73,63.0,85.0,10.77,0.032,,vf,Gravity Flow,M,,Sd gy--bm vw cons vfgr w/thin Sh lams,,,,
74,63.0,86.0,9.91,0.03,,vf,Gravity Flow,M,,Sd bm w cons vfgr,,,,
75,63.0,87.0,0.87,0.001,,vf,,M,,Sd It gy vw cons vfgr,,,,
76,63.0,88.0,0.38,0.001,,vf,Channel,M,,Sd bm w cons vfgr,,,,
77,63.0,89.0,0.78,0.001,,vf,Gravity Flow,M,,Sd gy vw cons vfgr,,,,
78,63.0,90.0,8.86,0.024,,vf,Gravity Flow/Shelf,M,,Sd gy w cons vfgr,,,,
79,63.0,91.0,9.04,0.044,,vf,Gravity Flow/Shelf,M,,Sd gy w cons vfgr,,,,
